[0.000000] (-) TimerEvent: {}
[0.034011] (-) JobUnselected: {'identifier': 'aruco_realsense_ros'}
[0.034203] (-) JobUnselected: {'identifier': 'cv_bridge'}
[0.034434] (-) JobUnselected: {'identifier': 'examples_tf2_py'}
[0.034539] (-) JobUnselected: {'identifier': 'geometry2'}
[0.034595] (-) JobUnselected: {'identifier': 'image_geometry'}
[0.034633] (-) JobUnselected: {'identifier': 'opencv_tests'}
[0.034686] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.034783] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.034881] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.035005] (-) JobUnselected: {'identifier': 'test_tf2'}
[0.035061] (-) JobUnselected: {'identifier': 'tf2'}
[0.035090] (-) JobUnselected: {'identifier': 'tf2_bullet'}
[0.035117] (-) JobUnselected: {'identifier': 'tf2_eigen'}
[0.035143] (-) JobUnselected: {'identifier': 'tf2_eigen_kdl'}
[0.035169] (-) JobUnselected: {'identifier': 'tf2_geometry_msgs'}
[0.035195] (-) JobUnselected: {'identifier': 'tf2_kdl'}
[0.035221] (-) JobUnselected: {'identifier': 'tf2_msgs'}
[0.035248] (-) JobUnselected: {'identifier': 'tf2_py'}
[0.035274] (-) JobUnselected: {'identifier': 'tf2_ros'}
[0.035301] (-) JobUnselected: {'identifier': 'tf2_ros_py'}
[0.035338] (-) JobUnselected: {'identifier': 'tf2_sensor_msgs'}
[0.035366] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.035392] (-) JobUnselected: {'identifier': 'vision_opencv'}
[0.035418] (-) JobUnselected: {'identifier': 'yolo_bringup'}
[0.035444] (-) JobUnselected: {'identifier': 'yolo_msgs'}
[0.035469] (-) JobUnselected: {'identifier': 'yolo_ros'}
[0.035494] (-) JobUnselected: {'identifier': 'yolov8_tf_node'}
[0.035521] (-) EventReactorShutdown: {}
